Shop Name,latitude,longitude,Retailer Subtype,YTD Retailing Value,country,Opportunity
MANSUR PMS,8.4526862,11.111457,Secondary,1956.8819445,Nigeria,High Performer
HABEEB PMS,8.4528019,11.1117146,Secondary,1539.981156,Nigeria,High Performer
GOD IS GREAT INTER,8.4529516,4.5361929,Secondary,0.0,Nigeria,Dead Whitespace
DIVINE GLOBAL,8.4530362,4.5570502,Secondary,0.0,Nigeria,Dead Whitespace
NEZEK PHARMACY AND STORES SANGO,8.4532656,4.5809383,Secondary,0.0,Nigeria,Dead Whitespace
OPEYEMI STORES BASIN,8.4532666,4.5809369,Secondary,0.0,Nigeria,Dead Whitespace
HARRISON PMS,8.4541403,11.1153393,Secondary,2017.5027915,Nigeria,High Performer
HENRY PMS,8.4550061,11.1123276,Secondary,2316.0454485,Nigeria,High Performer
BONIFACE PMS,8.4558325,11.1113049,Secondary,2091.54498,Nigeria,High Performer
DISCRETE,8.4568754,4.5784116,Secondary,153.9360585,Nigeria,Low Performer
KOREDE,8.4568846,4.5783777,Secondary,559.021869,Nigeria,Active
KASRAB PHARMACY,8.4569476,4.5784126,Secondary,0.0,Nigeria,Dead Whitespace
GRAMOS PHARMACY,8.4573033,4.5332433,Secondary,715.739598,Nigeria,High Performer
HEALTH HOME,8.4576043,4.5355949,Secondary,1141.994889,Nigeria,High Performer
PAMILERIN,8.4576511,4.5357506,Secondary,928.8859965,Nigeria,High Performer
ADEWOLE PHARMACY,8.4576958,4.5356536,Secondary,0.0,Nigeria,Dead Whitespace
MERCY LAND,8.4576962,4.5357784,Secondary,560.3851995,Nigeria,Active
ROMED,8.4577031,4.5357169,Secondary,701.4786765,Nigeria,High Performer
IBUKUN OLU,8.4577352,4.53569,Secondary,881.965455,Nigeria,High Performer
HORLAREWAJU PHARMACY,8.4577526,4.5356134,Secondary,0.0,Nigeria,Dead Whitespace
GBIGBA ADUA,8.4577588,4.5356839,Secondary,931.036302,Nigeria,High Performer
GURE MAN,8.4577657,4.5355444,Secondary,554.841609,Nigeria,Active
TONY,8.4577712,4.5355626,Secondary,924.215796,Nigeria,High Performer
ALFA 2,8.4577748,4.5355118,Secondary,1182.9234795,Nigeria,High Performer
MEGAMEDS,8.4577958,4.5355191,Secondary,899.604804,Nigeria,High Performer
BORIYA,8.4578086,4.5355653,Secondary,1010.0799345,Nigeria,High Performer
ELERE,8.4578762,4.535684,Secondary,783.436941,Nigeria,High Performer
SURBUR,8.4582145,4.5773212,Secondary,706.9150725,Nigeria,High Performer
JOHNSON,8.4586583,4.5766783,Secondary,787.6472415,Nigeria,High Performer
Elidal stores,8.4589376,4.5764446,Secondary,128.90082,Nigeria,Low Performer
MOMROTA PHARMACY GENERAL,8.4592263,4.5500809,Secondary,0.0,Nigeria,Dead Whitespace
